tconst	directors	writers
tt0261158	nm0938892	\N
tt0261159	\N	\N
tt0261160	\N	\N
tt0261161	nm0302778	\N
tt0261162	nm0142500	nm0142500
tt0261163	nm0802847	nm0320208,nm0802847
tt0261164	nm0018136	\N
tt0261165	nm0749511	nm0749511
tt0261166	nm0798616	nm0527358,nm0798616
tt0261167	nm0714762	nm0710589
tt0261168	nm0044609	\N
tt0261169	nm0229483	nm0229483,nm1098906
tt0261170	nm0707951	\N
tt0261171	\N	\N
tt0261172	nm0210091	nm1139006,nm0210091
tt0261173	nm0709370	nm0025613
tt0261174	nm0294029,nm0294030	\N
tt0261175	nm0676577	nm0008792,nm0676577
tt0261176	nm0211053	nm1709342,nm0211053
tt0261177	\N	nm0701090
tt0261178	nm0399493	\N
tt0261179	nm0868182	nm0868182
tt0261180	nm0021037	nm0308689,nm0402555,nm1303798
tt0261181	nm0036923	nm0017924,nm0036923
tt0261182	nm0040125	nm0200226
tt0261183	nm0866365	\N
tt0261184	nm0013274,nm0946160	nm0699692
tt0261185	nm0495536	nm0495536,nm0619249
tt0261186	nm0461877	nm0094513,nm0294291
tt0261187	nm0282324	nm2581457
tt0261188	nm0592036	nm0057022,nm0592036,nm0750582
tt0261189	nm0136622,nm0144809,nm0233132	nm0289565
tt0261190	nm0840779	nm0383071,nm0840779
tt0261191	\N	\N
tt0261192	nm0450168	nm0038063
tt0261193	nm0044609	\N
tt0261194	nm0233132	nm0289565
tt0261195	nm0866365	nm0294756
tt0261196	nm0233132	nm0233132,nm1286383
tt0261197	nm0449085	\N
tt0261198	nm0758182	nm0758182
tt0261199	nm0262923	nm0262923
tt0261200	nm0955711	nm0031168
tt0261201	nm0454137	nm0243020,nm0294849,nm0310018
tt0261202	nm0158918	nm0158918
tt0261203	nm0035106	nm0657408
tt0261204	\N	nm1741898
tt0261206	nm0452105	nm0464964
tt0261207	nm0136551	nm0579341,nm0883570
tt0261208	nm0769394	nm0769394
tt0261209	nm0849648	\N
tt0261210	nm0599602	\N
tt0261211	nm2133236	\N
tt0261212	nm0186184	nm0186184
tt0261213	nm0938892	\N
tt0261214	nm0044609	\N
tt0261215	nm0100657	nm0021283,nm0576830,nm0617737
tt0261216	nm0303666	nm0268756,nm0548151,nm0559857,nm0769121
tt0261217	nm0523502	nm0523502
tt0261218	nm0707951	\N
tt0261219	nm1023860	\N
tt0261220	nm0899139	nm0330820
tt0261221	nm0044609	\N
tt0261222	nm0044609	\N
tt0261223	nm0710531	\N
tt0261224	nm0505900	nm0621685,nm6788876
tt0261225	nm0053938,nm0053942,nm0733790	nm0022668
tt0261226	nm0631674	nm0155990
tt0261227	nm0417386	nm0417386
tt0261228	nm2152551	nm2152551
tt0261229	nm0043941	nm0043941
tt0261230	nm0043941	nm0043941
tt0261231	nm0043941,nm0660745	nm0043941,nm0660745
tt0261232	nm0043941	nm0043941
tt0261233	nm0043941	nm0043941
tt0261234	nm0043941	nm0043941
tt0261235	nm0043941	nm0043941
tt0261236	nm0633876	nm0927397
tt0261237	nm0343939	nm0489794,nm0494370
tt0261238	nm0626642	nm0626642
tt0261239	\N	\N
tt0261240	nm0709804	\N
tt0261241	nm0110654	nm0110654
tt0261242	nm14784524,nm0955131	nm0955131
tt0261243	nm0474398	\N
tt0261244	nm0628890	\N
tt0261245	nm0080661	nm0009330,nm0017073,nm0080661,nm0133231,nm0138684,nm0544758,nm0763443,nm0783748
tt0261246	nm0932518	nm0129857,nm0932518
tt0261247	\N	\N
tt0261249	nm1729212	\N
tt0261250	nm1729212	\N
tt0261251	\N	\N
tt0261252	\N	\N
tt0261253	\N	\N
tt0261254	\N	\N
tt0261255	nm0242658,nm1729212	nm1706790
tt0261256	nm0242658	\N
tt0261257	nm0242658	\N
tt0261258	nm0242658	\N
tt0261259	nm0242658	nm0273968,nm0751746
tt0261260	nm0242658	\N
tt0261261	nm0925755	nm0787992,nm0838153,nm0923932
tt0261262	nm0866365	\N
tt0261263	nm0866365	nm0866365
tt0261264	nm0921464	nm0372877
tt0261265	nm0241837	nm0241837,nm0565371,nm0005200,nm2204007
tt0261266	nm0448422	nm1484695
tt0261267	nm0209527	\N
tt0261268	nm0075242	nm0019796,nm0231030
tt0261269	nm0208364	nm0873004,nm0208364,nm0234329
tt0261270	nm0268999	nm0268999,nm0632453
tt0261271	nm0692483	nm0612901
tt0261273	nm0089958	nm0615356,nm0933447
tt0261274	nm0710041	\N
tt0261275	nm0785142	nm0329797,nm0648832
tt0261276	nm0778218,nm0778159	nm0857004
tt0261277	nm0208631	nm0208631
tt0261279	\N	\N
tt0261280	\N	nm0333854,nm0589711
tt0261282	nm0814288	nm0814288
tt0261283	nm0649828	nm0649828,nm0661605,nm0760016,nm0884900
tt0261284	nm0136622	nm0289565
tt0261285	nm0892181	nm0015350
tt0261286	nm0015236	nm0015031,nm0586452
tt0261287	nm0282738,nm0285090,nm0494467,nm0581482,nm0719348,nm0810564,nm0951484	\N
tt0261288	nm0698567	nm0017885
tt0261289	nm0399737	nm0771065,nm0740115
tt0261290	nm0866365,nm1389668	nm1389668,nm0866365
tt0261292	\N	\N
tt0261293	nm0136622	\N
tt0261294	nm0891678	nm1098984
tt0261295	nm0508442	\N
tt0261296	nm0708899	nm1915608,nm1248468
tt0261297	nm0362293	nm0945152
tt0261298	nm0326794	nm0837816
tt0261299	nm1572073	\N
tt0261300	nm0709804	\N
tt0261301	nm0482774	nm0863979,nm0498080
tt0261302	nm0044609	nm12504138,nm13320806
tt0261303	nm1182145	nm0320824
tt0261304	nm0238686	\N
tt0261305	nm0146713	nm0146713
tt0261306	nm0086410	\N
tt0261307	\N	\N
tt0261309	nm0211053	nm0144809,nm0211053
tt0261310	nm0519983	nm0484073,nm0519983
tt0261311	nm0000940	nm0044156,nm0898700
tt0261312	nm0394725	nm5370775
tt0261313	\N	\N
tt0261314	\N	\N
tt0261315	nm0952322	nm0821188
tt0261316	\N	nm0100820,nm0006623,nm0809512
tt0261317	nm0596937	\N
tt0261318	nm0348803	nm0795697,nm0883408
tt0261319	nm0013273	nm0013273,nm0795320
tt0261320	nm0937115	nm1114416,nm0748680,nm0937115
tt0261321	nm0091854	nm0091854
tt0261322	nm0139605	nm0139605
tt0261323	nm0276101,nm0818465	nm0770643
tt0261324	nm0079326	nm0079326,nm16538588
tt0261325	nm0012800	nm0347876,nm0451134
tt0261326	nm0024521	nm0024521
tt0261327	nm0414985	\N
tt0261328	\N	\N
tt0261329	nm0954806	nm0031080
tt0261330	nm0868182	\N
tt0261331	nm0836899	nm0857061,nm0899649,nm0618510
tt0261332	nm1048570	\N
tt0261333	nm0044609	nm11175976,nm8989313,nm1033297
tt0261334	nm0836899	nm0040490,nm0329716,nm0836899
tt0261335	\N	\N
tt0261336	nm0343613,nm0559148	nm0343613,nm0559148
tt0261337	nm0533988	nm0151373,nm0340061
tt0261338	nm0157799	nm3421906
tt0261339	nm0530417	nm0530417,nm0957980
tt0261340	nm0866365	nm1185429
tt0261341	nm0144809	nm0144809
tt0261342	nm0609179	nm0056996
tt0261343	nm0094361	nm0094361
tt0261345	nm0389263	nm0389263
tt0261346	nm0891678	nm0012731,nm0146713,nm0891678
tt0261347	nm0044609	nm1148057,nm1823946
tt0261348	nm0044609	nm1148057
tt0261349	nm0369958	\N
tt0261350	nm0044609	\N
tt0261352	nm0066596	nm0590360
tt0261353	nm0820715	\N
tt0261354	nm0752922	nm0103932,nm0752922
tt0261355	nm0876244	nm0876244
tt0261356	nm0035280	nm0378960
tt0261357	nm0836899	nm0040490,nm0154158,nm0195991,nm0836899
tt0261358	nm0423620	nm0835998,nm0923451
tt0261359	nm0557956	nm1463215,nm0281326,nm2766984
tt0261360	nm0211053	\N
tt0261361	nm0211053	nm1709342,nm0211053
tt0261362	nm0086410	nm0777131,nm0777143
tt0261363	nm0532487	nm0532487
tt0261364	nm0211053	nm0144809,nm0211053
tt0261365	nm0136622	\N
tt0261366	nm0283669	\N
