nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0797000	Richard Siegel	1955	\N	cinematographer,writer,camera_department	tt3067954,tt0427848,tt6232368,tt0183297
nm0797001	Richard Siegel	\N	\N	writer,producer	tt0105466,tt0275408,tt0197148
nm0797002	Rick Siegel	\N	\N	cinematographer,camera_department,miscellaneous	tt12221748,tt11394180,tt8257662,tt4305154
nm0797003	Robert H. Siegel	\N	\N	\N	tt0133019
nm0797005	Robin Siegel	\N	\N	make_up_department	tt0108778,tt0434672,tt0458253,tt1711525
nm0797006	Rohama Siegel	\N	\N	writer	tt0030956
nm0797007	Ron Siegel	\N	\N	cinematographer,camera_department,miscellaneous	tt1711425,tt4428402,tt0113376,tt7890784
nm0797008	Ross Siegel	\N	\N	manager,producer,executive	tt5291862,tt4648826,tt4392344,tt0765476
nm0797009	Seth Siegel	\N	\N	producer,actor,composer	tt0233044,tt0310443,tt0108260,tt5764398
nm0797010	Shelby Siegel	\N	\N	editor,editorial_department,miscellaneous	tt0190332,tt1175709,tt0388795,tt0240890
nm0797011	Sid Siegel	1927	2015	composer	tt0056622,tt35301027,tt10312552,tt11026554
nm0797012	Sol C. Siegel	1903	1982	producer,production_manager,archive_footage	tt0045810,tt0047580,tt0049314,tt0029112
nm0797013	Stacey Siegel	\N	\N	miscellaneous,actress	tt0113862,tt0116151,tt0116953
nm0797014	Stan Siegel	\N	\N	sound_department,editor,production_manager	tt0107711,tt0064276,tt0097179,tt0086508
nm0797015	Stanley Siegel	1936	2016	actor,director,producer	tt0090314,tt2935424,tt0091411,tt0085665
nm0797016	Steve Siegel	\N	\N	actor	tt0096936
nm0797017	Steven Siegel	\N	\N	writer,producer	tt0097637,tt6107832,tt0114005,tt0239319
nm0797018	Susan Siegel	\N	\N	producer	tt0263849
nm0797019	Taggart Siegel	\N	\N	director,producer,cinematographer	tt1645852,tt0439774,tt5971724,tt0105817
nm0797020	Terri Siegel	\N	\N	actress	tt0075357
nm0797021	Thyme Siegel	\N	\N	miscellaneous	tt0117652,tt0149791
nm0797022	Tom Siegel	\N	\N	costume_department,actor	tt0111280,tt0195685,tt0112178,tt0244365
nm0797023	William M. Siegel	\N	\N	producer	tt0093217
nm0797024	Wolfgang Siegel	\N	\N	visual_effects,art_department,production_designer	tt0100240,tt0102855,tt0095205,tt0087273
nm0797025	Dana Siegelman	\N	\N	\N	\N
nm0797026	Jan Siegelman	\N	\N	producer,production_manager,director	tt0137330,tt0106162,tt2281583,tt0096637
nm0797027	Lori Allen Siegelman	\N	\N	\N	\N
nm0797028	Wolf Siegelmann	1958	\N	cinematographer	tt7845932,tt0806910,tt0295620,tt3689304
nm0797029	Bert Siegelson	\N	\N	music_department	tt0454515,tt0070033
nm0797030	Eric Siegelstein	\N	\N	editor,editorial_department,director	tt1264097,tt0412055,tt0295238,tt0244094
nm0797031	Bernd Stegemann	1949	\N	actor	tt0765432,tt2987732,tt0295788,tt1223917
