nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm10085270	Ian Waller	\N	\N	assistant_director,miscellaneous	tt8922118
nm10085273	Charles Roe	\N	\N	miscellaneous	tt8922118
nm10085277	Hunter Larsen	\N	\N	costume_designer	tt15437786,tt8922118,tt10021928
nm10085279	Jovan Smith	\N	\N	actor	tt8620078,tt11015296,tt11015306,tt11347386
nm1008528	Wil Zuidema	1927	1990	actress	tt0073635,tt0100213,tt0125647,tt30817507
nm10085280	Randy De Chavez	1982	\N	actor	tt8620078,tt31797652,tt10332272,tt12121162
nm10085281	Nicholas Lee	\N	\N	actor	tt8620078
nm10085282	Roshema Purfoy	\N	\N	actor	tt8620078
nm10085283	Jovana Santiuste	\N	\N	actress	tt8620078
nm10085284	Angel Brown	\N	\N	\N	\N
nm10085285	Akshatvishal Chaturvedi	\N	\N	production_manager	tt5184604
nm10085286	Nana Suwa	\N	\N	visual_effects	tt6215712,tt8315092
nm10085288	Takehiro Tanaka	\N	\N	visual_effects	tt21211474,tt16233104,tt26452638,tt13757540
nm10085289	Yuu Murakami	\N	\N	visual_effects	tt7117354,tt6215712,tt8493238
nm1008529	Mirko Zupancic	1925	2014	actor	tt0175257,tt0052743
nm10085290	Takanori Tanaka	\N	\N	visual_effects	tt16233104,tt26452638,tt13757540,tt6215712
nm10085291	Ryô Wakasugi	\N	\N	visual_effects	tt16233104,tt26452638,tt27192829,tt6215712
nm10085292	Eri Tanaka	\N	\N	visual_effects,sound_department	tt6215712,tt28145243
nm10085293	Takuya Aoki	\N	\N	visual_effects	tt16233104,tt5815944,tt13757540,tt6215712
nm10085294	Kensuke Yuizumi	\N	\N	visual_effects	tt6215712,tt8493238
nm10085295	Kaori Inagaki	\N	\N	visual_effects,animation_department	tt10954984,tt5090568,tt3794354,tt12412888
nm10085296	Masato Inoue	\N	\N	visual_effects	tt6215712
nm10085297	Yuko Sasaki	\N	\N	visual_effects	tt5607028,tt6215712,tt18671660,tt18671386
nm10085298	Hideki Mikami	\N	\N	visual_effects	tt6215712
nm10085299	Jun'ichi Akimoto	\N	\N	visual_effects,miscellaneous	tt5776208,tt5595168,tt6215712,tt5370130
nm1008530	Sheldon Zwerling	\N	\N	miscellaneous	tt0120188
nm10085300	Toyokazu Hirai	\N	\N	visual_effects,miscellaneous	tt13654226,tt0293429,tt2222042,tt4123432
nm10085301	Masaaki Sakakibara	\N	\N	visual_effects	tt6215712
nm10085302	Tetsuya Moriyama	\N	\N	visual_effects	tt2632184,tt7098236,tt10755752,tt8649224
nm10085304	Shelby Silverman	\N	\N	miscellaneous,producer	tt11947418,tt14753626,tt8922148
nm10085305	Tor Christoffersen	\N	\N	\N	tt8922160
nm10085306	Tiffany Lindquist	\N	\N	producer,actress,camera_department	tt15018006,tt8526038
nm10085307	Beth Hart	\N	\N	\N	\N
nm10085308	Jan Olav Ingvaldsen	\N	\N	\N	tt8922160
nm10085309	Carl Lorick	\N	\N	\N	tt8922160
nm1008531	Gabriel Zúñiga Ramírez	\N	\N	actor	tt0288469
nm10085310	Asle Eliassen	\N	\N	\N	tt8922160
nm10085311	Reidun Husaas	\N	\N	\N	tt8922160
nm10085312	Jorunn Andersen	\N	\N	\N	tt8922160
nm10085313	Nils J. Astrup	\N	\N	\N	tt8922160
nm10085314	Jens Hallvard Bratz	\N	\N	\N	tt8922160
nm10085315	Terje B. Lien	\N	\N	production_manager	tt36118505,tt0273007,tt8922160
