nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm8430659	Fidel Depaz Echevarria	\N	\N	sound_department,writer,camera_department	tt6054630
nm8430663	Amanda Turner	\N	\N	writer	tt6054632
nm8430664	Agnes Polese	\N	\N	writer	tt6054632
nm8430668	Natalie Barnes	\N	\N	writer	tt6054632
nm8430669	Maja Giev	\N	\N	writer	tt6054632
nm8430671	Robert Musicco	\N	\N	writer	tt6054632
nm8430673	Vera Caldwell	\N	\N	writer	tt6054632
nm8430675	Jimmy Paxton	\N	\N	writer,assistant,producer	tt6054632
nm8430678	Ash Meeraiya	\N	\N	producer,miscellaneous,director	tt6054632,tt9015086,tt6840280,tt6054634
nm8430727	Paul Mills	\N	\N	director,cinematographer,editor	tt6054660
nm8430728	Joseph Belez	\N	\N	sound_department,producer,director	tt13195192,tt11718996,tt31530673,tt6043282
nm8430742	Anoop Padate	\N	\N	writer	tt6054668
nm8430757	Tanmay Nag	\N	\N	director,writer,producer	tt10207876,tt12029964,tt14852670,tt34721094
nm8430795	Doug Brooks McQuade Nathan	\N	\N	writer	tt6054678
nm8430815	Luis Sens	\N	\N	director	tt6043686
nm8430817	Ramiro San Honorio	\N	\N	writer,director	tt6043686,tt28317363
nm8430818	Ezequiel Iandritsky	\N	\N	writer	tt6043686,tt12828154
nm8430826	Andy Matic	\N	\N	writer	tt6054710
nm8430834	Kerry Lohrman	\N	\N	director	tt6054734
nm8430837	Youcef Issa	\N	\N	director,writer	tt6054736
nm8430861	Christian Krasnek	\N	\N	actor,writer	tt6054776
nm8430862	Nyle Prince Higgs	1995	\N	miscellaneous,camera_department,cinematographer	tt10913522,tt9505036,tt8141920,tt11152168
nm8430863	Elsa Eliasson	\N	\N	director,writer,cinematographer	tt6054780,tt15473144
nm8430865	Dany Derigon	\N	\N	director,writer	tt6054786
nm8430866	Francis Lameyeur	\N	\N	writer	tt6054786
nm8430867	Jonathan Lepinay	\N	\N	writer	tt6054786
nm8430868	Jonathan Sautron	\N	\N	writer	tt6054786
nm8430889	Cookie Schulte	\N	\N	cinematographer,producer,director	tt7009238,tt6428518,tt7073884,tt7069076
nm8430900	Dan Butovskiy	\N	\N	camera_department,editor,director	tt7061926,tt7704460,tt7704436,tt6428518
nm8430922	Nathan Shain	\N	\N	editor,cinematographer,director	tt23903496,tt11615810,tt21385240,tt12410468
nm8430927	Sharadchandra Jadhav	\N	\N	director,actor,writer	tt6054836
nm8430934	Nitesh Tiwari	1994	\N	composer,director,music_department	tt12724920,tt12882498
nm8430942	Audie Cornish	\N	\N	writer,actress,producer	tt3398228,tt10417836,tt29921442,tt15709068
nm8430943	Wouter Wirth	\N	\N	camera_department,director,writer	tt10015252,tt7371874,tt6054838,tt7403464
nm8430969	Dmitriy Paltsev	\N	\N	writer	tt6054874
nm8430970	Dmitriy Raevskiy	\N	\N	writer	tt6054874
nm8430971	Evgeniy Raevskiy	\N	\N	writer	tt6054874
nm8430983	Manon Lemaure	\N	\N	actress,director	tt7285636,tt6054878,tt6072948,tt6072950
nm8430989	Malik Bourkache	\N	\N	director,writer,camera_department	tt12559126,tt6054880
nm8430999	Ricky Cusimano	\N	\N	actor,director,writer	tt8178038,tt6054906
nm8431002	Naomi Stromire	\N	\N	producer,actress,writer	tt6054906,tt11185586,tt14592228,tt30471071
nm8431008	Stacie Swindells	\N	\N	actress,producer,director	tt9147300,tt9129140,tt6054906,tt7663784
nm8431054	Chris Saunders	1981	\N	actor,writer,composer	tt0247082,tt13362430,tt7616190,tt1381004
nm8431080	Juliana Soares	\N	\N	writer,producer,director	tt17279488,tt12948122,tt27418876,tt11912618
nm8431082	Cleiton Costa	\N	\N	director,writer,editor	tt7551706,tt7549946,tt6066130,tt6054978
nm8431087	Emily Vallier	\N	\N	director	tt7232390,tt6054986
nm8431105	Ali Salim Alatas	\N	\N	director	tt6055006
nm8431106	Khalid Alheraybe	\N	\N	director	tt6055006
nm8431107	Meshaal Alrefaie	\N	\N	director	tt6055006
nm8431108	AdulLateef Alshehry	\N	\N	writer	tt6055006
nm8431113	Liam Stewart	\N	\N	actor,director,writer	tt6055026,tt2172071,tt9899284,tt5475726
nm8431115	Gordon Carre-Horne	\N	\N	writer	tt0990731
nm8431131	Victor Macias	\N	\N	writer,producer	tt5794484
nm8431162	Sergiy Pudich	1988	\N	editor,director,producer	tt10462728,tt13654330,tt12253576,tt10756728
nm8431166	Vishna Mamic	\N	\N	writer	tt5793796
nm8431190	Ali Hammoud	\N	\N	director,writer,editor	tt6055122,tt27907940
nm8431215	Ankit Sunil Trivedi	\N	\N	assistant_director,director	tt5943232,tt7609114,tt5016442,tt5908764
nm8431226	Barry Baker	\N	\N	director,assistant_director	tt1380835,tt0179618
nm8431229	Ferda Amin	1979	\N	actor,writer	tt13781848,tt1188433,tt5564000,tt6383544
nm8431232	Fateh	\N	\N	actor,music_department,director	tt30476264,tt6055162,tt17940052,tt27679373
nm8431233	Tural Sevdimali	\N	\N	writer,actor	tt6055162,tt6620122,tt26546221
nm8431242	Erik Martin	\N	\N	actor,director,cinematographer	tt6043756
nm8431246	Teka Haile	\N	\N	writer,producer	tt5986718
nm8431247	Leul Shoaferaw	\N	\N	writer,producer,director	tt22990648,tt5986718,tt10262204,tt11643110
nm8431256	Pellervo Torni	\N	\N	writer	tt6044148
nm8431260	Haruki Nakagawa	\N	\N	director	tt6055208
nm8431265	Glenn Ellis	\N	\N	camera_department,actor,producer	tt26455299,tt9442046,tt10391704,tt8724208
nm8431269	Eiji Sakurai	\N	\N	director	tt6055220
nm8431270	Kosaku Doi	\N	\N	director	tt6055222
nm8431271	Ikki	\N	\N	director	tt6694072,tt6055224
nm8431273	Yoichiro Taniguchi	\N	\N	director	tt6055232
nm8431274	Shinya Matsumura	\N	\N	director	tt6055234
nm8431275	Kateikyoushi Tetsuou	\N	\N	director	tt6055238
nm8431276	Eito Okita	\N	\N	director	tt6055242
nm8431281	Ali Ftouni	\N	\N	director,actor,writer	tt6055258,tt6060704,tt6392816
nm8431290	Koichi Kudo	\N	\N	director	tt6055264
nm8431297	Aamir Yousaf	\N	\N	director	tt12285222,tt6055282
nm8431298	Zeeshan Hasan	\N	\N	writer	tt21654396,tt6055282
nm8431304	György Mikes	1929	1986	writer	tt6055288,tt8227298,tt7492242
nm8431331	Madoka	\N	\N	director	tt6055320
nm8431335	Scuffy	\N	\N	animation_department,miscellaneous,art_department	tt12948688,tt6050284,tt15526688,tt4967386
nm8431337	Eoin McGovern	\N	\N	cinematographer,editor,writer	tt10249404,tt10249464,tt6055326,tt12453424
nm8431341	Anna Lytton	\N	\N	director	tt6055332
nm8431342	Go-eun Kim	\N	\N	director	tt6055334
nm8431343	Wei-Yuan Chen	\N	\N	director	tt6055336
nm8431345	Alexandre Silberman	\N	\N	cinematographer,director,editor	tt18397124,tt26867374,tt27217727,tt32562046
nm8431346	Alexia Rubod	\N	\N	animation_department,director	tt3469046,tt6055398
nm8431349	Andrea Osvaldo Sanguigni	\N	\N	writer,director	tt34380428,tt4728946
nm8431382	Lisa Miriam Otto	\N	\N	actress,writer	tt34954608,tt13893874,tt34953275,tt10230370
nm8431396	David Harris Kline	\N	\N	producer,writer,podcaster	tt5992164,tt7635312
nm8431408	István Lázár	\N	\N	writer,miscellaneous	tt30628535,tt13598244,tt4238938,tt13812384
nm8431422	Kristina Persson Helleday	\N	\N	writer,director,actor	tt6055504,tt31384266,tt21100404,tt9235070
nm8431443	Rawi Santos	\N	\N	writer,director,visual_effects	tt6055528
nm8431450	Karen Pompeo	\N	\N	actor,writer,art_department	tt6055528
nm8431453	Lydia Bland	\N	\N	visual_effects,producer,director	tt1677720,tt6141246,tt3228774,tt13287846
nm8431457	Yasser Monção Andrella	1997	\N	editor,producer,director	tt6983928,tt9208094,tt7116246,tt6962900
nm8431466	Anne Sagel	\N	\N	writer	tt10279988,tt5671144,tt6942180
nm8431468	Xantina Romkes	\N	\N	producer,miscellaneous,actress	tt6622916,tt6128022,tt4037876,tt5614150
nm8431472	Chris Bell	\N	\N	actor,writer	tt6055626
nm8431476	Jeremiah Hendrix	\N	\N	actor,writer,cinematographer	tt6055626
nm8431483	Ines Bensalem	\N	\N	producer,director,writer	tt6055632,tt8923482,tt11225756,tt8657556
nm8431484	Sem Bendjeddou	\N	\N	writer,producer	tt6055632
nm8431501	Leen Tangney	\N	\N	director	tt6044588
nm8431503	Mariana Nuñez	\N	\N	writer,director,producer	tt9771252,tt8614174,tt9071940
nm8431513	Bal Brach	\N	\N	producer,director,writer	tt6055664
nm8431569	Jany D'Hondt	\N	\N	writer	tt3790428
nm8431570	Vincent Challet	\N	\N	writer	tt3790428
nm8431589	Manon Coubia	\N	\N	director,writer,producer	tt28591720,tt10294020,tt6055728,tt6957834
nm8431594	Jen Debauche	\N	\N	director,cinematographer,writer	tt29378600,tt29383640,tt6055728
nm8431596	Matteo Attanasio	\N	\N	director,cinematographer	tt1980003,tt7719990
nm8431610	David Michael Moody	\N	\N	director,editor	tt13612684,tt5420406,tt6055748
nm8431612	Barry Woodward	\N	\N	director,writer,producer	tt12782638,tt9776056,tt7989104,tt6055748
nm8431633	Clara Mata	\N	\N	assistant_director,miscellaneous,writer	tt11127690,tt7605702,tt29883445,tt8422406
nm8431636	Guiu Vallvé	\N	\N	editor,director,writer	tt6055758,tt12540024,tt8176280,tt12447162
nm8431642	Pol Armengol	\N	\N	director,writer	tt6055758,tt14250646
nm8431645	Nicolette Charboneau	\N	\N	director,producer	tt6055760
nm8431646	Maggie Switzer	\N	\N	director,producer	tt6055760
nm8431649	Danielle Dros	\N	\N	director	tt6055760
nm8431650	Michelle Ahrens	\N	\N	director,producer	tt6055760
nm8431651	Travis Beck	\N	\N	actor,location_management,camera_department	tt21254336,tt21292900,tt14947744
nm8431656	Kerry Dieter-Roward	\N	\N	director	tt6055760
nm8431658	Lindsay Sawan	\N	\N	director	tt6055760
nm8431660	Riley Norton	\N	\N	director	tt6055760
nm8431663	Eva Solomon	\N	\N	director	tt6055760
nm8431668	Denise Hager	\N	\N	director	tt6055760
nm8431671	Sarah Klobuchar	\N	\N	director,producer	tt6055760
nm8431677	Adrian Washington	\N	\N	director	tt6055760
nm8431684	Katie Burke	\N	\N	actress,writer,music_department	tt26315924,tt28078397,tt18284494,tt20912616
nm8431700	Mark Perro	\N	\N	director	tt6055806
nm8431701	Brian Chillemi	\N	\N	director,cinematographer	tt6055806
nm8431725	H.B. Hickey	\N	\N	writer	tt6055814
nm8431726	György Szilágyi	\N	\N	writer	tt6055814
nm8431728	Alejandra Alonso	\N	\N	camera_department,director,writer	tt6055816,tt28480637,tt28480552,tt28480344
nm8431729	Paula Devita	\N	\N	producer,art_department,director	tt6055816,tt28480344,tt28480552,tt28480637
nm8431731	Florencia Romero	\N	\N	camera_department,producer,director	tt12393886,tt6055816,tt6975606,tt28480637
nm8431738	Colin William van den Bos	\N	\N	director	tt6055820
nm8431739	Colin van den Bos	\N	\N	actor,writer,editor	tt6055820
nm8431740	Siegfried de Jonge	\N	\N	writer	tt6055820
nm8431750	Antônio Augusto Farias	\N	\N	director,writer,composer	tt6055826
nm8431756	Manrico Dudley	\N	\N	director,editor	tt6055828
nm8431780	Jazz Walker	\N	\N	director,actor,writer	tt7371048,tt6055846,tt13951898,tt5147414
nm8431782	Jono Cowan	\N	\N	director,writer	tt6055852
