tconst	directors	writers
tt10510674	\N	\N
tt10510676	nm7681676	nm10432482,nm7681676
tt10510678	\N	\N
tt1051068	nm0854140	nm1403950
tt10510680	\N	\N
tt10510682	nm4729055	nm9085816,nm4729055
tt10510684	nm1205548	nm0455497
tt10510686	nm3713189,nm2226610	nm8216368,nm3713189,nm7208651,nm2226610
tt10510688	nm3713189,nm2226610	nm8216368,nm3713189,nm7208651,nm2226610
tt1051069	nm0854140	nm1403950
tt10510690	nm3713189,nm2226610	nm8216368,nm3713189,nm7208651,nm2226610
tt10510692	nm3765535	\N
tt10510694	nm2734727	nm2734727,nm10777362,nm2186507,nm10777361
tt10510696	\N	\N
tt10510698	nm6267703	nm10777366
tt1051070	nm0854140	nm1403950
tt10510700	nm0623163	nm1840994,nm13064610,nm15953748,nm7118506
tt10510704	nm4335072,nm1031912	nm4335072,nm1031912,nm4258190
tt10510706	\N	\N
tt1051071	nm2082994	nm0194689,nm0629819,nm0696548,nm1403950
tt10510710	nm2772076	\N
tt10510712	\N	\N
tt10510714	\N	\N
tt10510716	\N	\N
tt10510718	nm10777142,nm8492907	nm10777382
tt1051072	nm2082994	nm0194689,nm0629819,nm0696548,nm1403950
tt10510720	\N	\N
tt10510724	nm5324425	nm5324425
tt10510726	\N	\N
tt10510728	\N	\N
tt1051073	\N	\N
tt10510730	\N	\N
tt10510732	nm10777384	\N
tt10510734	nm10777389	\N
tt10510736	nm0423524	nm0423524
tt10510738	nm9938307	nm9938307
tt1051074	\N	\N
tt10510742	nm2526944,nm3944059	nm2526944,nm3944059
tt10510744	nm7345019	nm7345019
tt10510746	\N	\N
tt10510748	nm2728221	nm2728221
tt1051075	\N	\N
tt10510750	nm9269211	nm9269211
tt10510752	\N	\N
tt10510756	nm9853804	nm9853804
tt10510758	nm5358732	\N
tt1051076	\N	nm0313703
tt10510760	\N	\N
tt10510762	\N	\N
tt10510764	\N	\N
tt10510766	nm9164936	\N
tt1051077	\N	\N
tt10510770	nm5381976	\N
tt10510772	\N	\N
tt10510774	nm3288722	\N
tt10510776	\N	\N
tt10510778	\N	\N
tt1051078	\N	nm2167328
tt10510780	\N	\N
tt10510784	\N	\N
tt10510786	\N	\N
tt10510788	\N	\N
tt1051079	\N	nm2167328
tt10510790	nm10777519	nm10777519
tt10510792	\N	\N
tt10510794	nm2208077	\N
tt10510796	\N	\N
tt10510798	\N	\N
tt1051080	\N	\N
tt10510800	\N	\N
tt10510802	\N	\N
tt10510804	nm6648326	\N
tt10510806	\N	\N
tt10510808	\N	\N
tt1051081	\N	\N
tt10510810	\N	\N
tt10510812	\N	\N
tt10510814	nm2520130	nm2520130
tt10510816	\N	\N
tt10510818	\N	nm5142203,nm2431771,nm8977430
tt1051082	\N	nm2167328
tt10510820	nm1993449	nm8730232,nm5142203,nm8977430
tt10510822	nm1993449	nm5142203,nm2431771,nm8977430
tt10510824	nm1993449	nm1865974,nm5142203,nm8977430
tt10510826	nm1993449	nm1865974,nm5142203,nm8977430
tt10510828	nm2156410,nm0140196,nm1993449	nm5142203,nm2431771,nm8977430
tt1051083	\N	\N
tt10510832	nm1993449	nm8730232,nm5142203,nm8977430
tt10510834	\N	\N
tt10510836	nm1993449	nm8730232,nm5142203,nm8977430
tt10510838	nm1993449	nm5142203,nm2431771,nm8977430
tt1051084	\N	\N
tt10510844	nm1993449	nm1865974,nm5142203,nm8977430
tt10510846	nm7502555	\N
tt10510848	nm1993449	nm5142203,nm2431771,nm8977430
tt1051085	\N	\N
tt10510852	nm1993449	nm1865974,nm5142203,nm8977430
tt10510854	nm1993449	nm8730232,nm5142203,nm8977430
tt10510856	nm8651227	nm9991065
tt10510858	nm1993449	nm5142203,nm2431771,nm8977430
tt1051086	\N	\N
tt10510860	nm1993449	nm8730232,nm5142203,nm8977430
tt10510864	nm1993449	nm1865974,nm5142203,nm8977430
tt10510866	nm1993449	nm5142203,nm2431771,nm8977430
tt10510868	\N	\N
tt1051087	\N	\N
tt10510870	nm1993449	nm8730232,nm5142203,nm8977430
tt10510872	\N	\N
tt10510874	nm1993449	nm1865974,nm5142203,nm8977430
tt10510878	\N	nm5142203,nm8977430
tt1051088	\N	\N
tt10510880	\N	nm5142203,nm8977430
tt10510884	nm0253727	\N
tt10510886	nm0253727	\N
tt10510888	nm16807714	\N
tt1051089	\N	\N
tt10510892	\N	\N
tt10510894	nm5583795	nm4554639,nm6173779
tt10510896	nm0253727	\N
tt10510898	nm0253727	\N
tt1051090	\N	\N
tt10510900	nm0253727	\N
tt10510902	\N	nm1679435
tt10510904	nm0253727	\N
tt10510906	nm10777575	\N
tt10510908	\N	\N
tt1051091	\N	\N
