tconst	directors	writers
tt10058772	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058774	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058776	nm5990160,nm2767267,nm4443289,nm14992315,nm7477058	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058778	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt1005878	nm0262883	\N
tt10058780	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058782	\N	\N
tt10058784	nm5990160,nm4443289,nm14992315,nm7477058	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058786	nm5990160,nm2767267,nm4443289,nm14992315,nm7477058	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058788	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt1005879	nm0262883	\N
tt10058790	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058792	nm5990160,nm2767267,nm4443289,nm14992315,nm7477058	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058794	nm9319392	\N
tt10058796	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058798	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058800	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058802	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058804	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058806	nm5990160,nm4443289,nm14992315	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058808	nm5990160,nm2767267,nm4443289,nm14992315,nm7477058	nm6427250,nm1406438,nm9053235,nm9053234,nm9053236,nm7681879
tt10058814	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058816	nm1104131	nm1104131,nm7165944
tt1005882	nm0015168,nm1866157,nm0605672	nm1030700,nm1012277
tt10058820	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058822	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058824	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058826	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058828	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt1005883	\N	\N
tt10058830	nm4813139	nm4813139
tt10058832	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058834	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058836	nm2767267,nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058838	nm2767267,nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt1005884	nm0454660,nm1676223	nm1024878,nm0824482,nm0996134,nm1263023,nm1318184,nm1733287,nm0235999,nm0334946,nm0383492,nm1906042,nm1334502,nm0527572,nm0584427,nm1230361,nm2854926,nm1676223,nm0806912,nm1231253,nm0819225,nm1672246,nm1317704
tt10058840	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058842	nm10278484	\N
tt10058844	\N	\N
tt10058846	nm2767267,nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058848	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt1005885	nm0219513	nm0638586
tt10058850	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058852	nm4443289,nm7477059,nm14992315	nm9053235,nm9053234,nm3996936,nm9053236,nm7681879
tt10058854	nm6040729	nm10563565
tt10058856	nm10563566	nm0430919
tt10058858	nm3765662	\N
tt1005886	nm0219513	nm0638586
tt10058860	nm8897299	nm8897299
tt10058864	nm8392831	nm8392831
tt10058868	\N	\N
tt1005887	nm0219513	nm0638586
tt10058870	nm2354990,nm7851678,nm10563573,nm3537809	nm2143588,nm1122754,nm1834348,nm0782030,nm5884431,nm1160314,nm5815712,nm1179287,nm1218400
tt10058872	nm9279869	nm9279869
tt10058876	nm6244622	nm6244622
tt10058878	\N	\N
tt1005888	nm0219513	nm0638586
tt10058882	\N	\N
tt10058888	nm3994344	nm10179262
tt1005889	nm0272704	nm0589043
tt10058890	nm0096539	nm0096539
tt10058892	nm8044121	nm6373075,nm8044121,nm5407872
tt10058894	nm2216409	nm12329260,nm5657263,nm11304881,nm4378526
tt10058898	nm3778480	\N
tt1005890	nm2611762	\N
tt10058900	\N	\N
tt10058902	nm2391559,nm0927311	nm2065330,nm2087483,nm5730942,nm6785808,nm4069943,nm0473500,nm1293149
tt10058904	nm9861971	nm10563594
tt10058906	\N	nm3512530,nm0318343
tt1005891	\N	\N
tt10058910	\N	\N
tt10058912	nm5538733	nm6201488,nm5538733
tt10058914	nm5939238	nm5939238
tt10058916	\N	\N
tt10058918	\N	\N
tt1005892	nm1680564	\N
tt10058920	\N	\N
tt10058924	\N	\N
tt10058926	\N	\N
tt10058928	nm2081882,nm2213851,nm15162171	nm15192130,nm15192131,nm12996236,nm15192133,nm15192129,nm15062424,nm15192132,nm15162170
tt10058930	\N	\N
tt10058932	\N	nm3341756,nm0318343
tt10058934	\N	\N
tt10058936	\N	\N
tt10058938	nm9398904	nm9398904
tt10058940	\N	\N
tt10058944	\N	\N
tt10058946	nm9633523	nm9633523
tt10058948	\N	\N
tt10058952	\N	\N
tt10058954	\N	\N
