nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0529904	Margarita López Pommareda	\N	\N	actress	tt0182309
nm0529905	Stella López Pommareda	\N	\N	actress	tt0182309,tt0225612
nm0529906	José López Portillo y Rojas	\N	\N	writer	tt0041764,tt0230578
nm0529907	Adolfo López Portillo	\N	\N	writer	tt0278575,tt0054668,tt0231636,tt0353588
nm0529908	Guillermo López Portillo	\N	\N	miscellaneous	tt0230578
nm0529909	Héctor López Portillo	1914	1965	actor	tt0219468,tt0228104,tt0040265,tt0270615
nm0529910	Jorge López Portillo	\N	\N	assistant_director,director,writer	tt0179777,tt0235111,tt0052807,tt0219917
nm0529911	Germán López Prieto	\N	\N	writer,producer	tt0027525,tt0037387,tt0037246,tt0035072
nm0529912	Luis López Puente	\N	\N	actor	tt0049968
nm0529913	Ana López-Puigcerver	\N	\N	make_up_department	tt16277242,tt0369702,tt0230600,tt4326444
nm0529914	Belén López-Puigcerver	\N	\N	make_up_department,actress	tt16277242,tt0230600,tt9742794,tt1629705
nm0529915	Jorge López Páez	\N	\N	writer	tt0089048
nm0529916	Enrique López Quesada	\N	\N	camera_department,cinematographer,miscellaneous	tt1016301,tt0222812,tt0094950,tt1632824
nm0529917	Fernando López Quesada	\N	\N	writer	tt0154481
nm0529918	Enrique L. Rendón Jaramillo	\N	\N	sound_department,editorial_department,editor	tt0358590,tt0292438,tt0393129,tt0205736
nm0529919	Leonardo López Rendón	\N	\N	art_department,costume_department	tt0219007
nm0529920	Félix López Rey	\N	\N	actor	tt0255059
nm0529921	Jorge López Rey	\N	\N	composer	tt0058494
nm0529922	Marcela López Rey	1941	\N	actress,miscellaneous,writer	tt0212852,tt0193724,tt0261775,tt1217518
nm0529923	Juan N. López	1955	\N	director,writer,editor	tt0311126,tt0290543,tt0275661,tt0379734
nm0529924	Rafael López Rienda	\N	\N	writer,director,actor	tt0018020,tt0018608,tt0012890,tt0018034
nm0529925	M. López Ripoll	\N	\N	writer	tt0055430
nm0529926	Diego López Rivera	1952	\N	director,writer,producer	tt0088971,tt0134692,tt0077989,tt0229450
nm0529927	José López Rodero	1937	\N	assistant_director,production_manager,producer	tt0142688,tt0066206,tt0087182,tt0089893
nm0529928	Kuki López Rodero	\N	\N	assistant_director,miscellaneous,production_manager	tt0087182,tt0100802,tt0085811,tt0112760
nm0529930	Pilar López Rodero	\N	\N	actress	\N
nm0529931	Eduardo López Rojas	1938	1999	actor	tt0102478,tt0072601,tt0113896,tt0213342
nm0529932	Matilde López Roldán	\N	\N	actress	tt0045554,tt0043493,tt0045058
nm0529933	Cándido López Rosales	\N	\N	\N	tt0075915
nm0529934	Alejandro López Rosas	\N	\N	editorial_department,sound_department	tt0121523,tt0204887,tt0269577
nm0529935	Helios López Rubio	\N	\N	miscellaneous	tt0144912,tt0144913,tt0144915,tt0144916
nm0529936	José López Rubio	1903	1996	writer,director,actor	tt0036802,tt0038432,tt0062005,tt0023983
nm0529937	Luis López Rueda	\N	\N	actor	tt0025049
nm0529938	Antonio López Ruiz	\N	\N	cinematographer,camera_department	tt0375426,tt0154138,tt0144738,tt0145250
nm0529939	Carlos López Ruiz	\N	\N	music_department	tt0062049
nm0529940	Jorge López Ruiz	1935	2018	composer,music_department	tt0169363,tt0168822,tt0100371,tt0169162
nm0529942	Óscar López Ruiz	1938	2021	composer,music_department	tt0204202,tt0062388,tt0058441,tt0061468
nm0529943	Ernesto López Ríos	\N	\N	art_department	tt0112851,tt0484740,tt0279969
nm0529944	Alfonso López S.	\N	\N	actor	tt0291002,tt0213832,tt0259935,tt0110029
nm0529945	Lorenzo López Sancho	\N	\N	writer	tt0074824,tt0459674,tt0465856,tt0367270
nm0529946	Arturo López Sanmartín	\N	\N	writer,actor	tt0447779,tt0054158
nm0529948	Sara López Sierra	\N	\N	actress	tt0082146
nm0529949	Carlos López Silva	\N	\N	actor	tt0036960
nm0529950	Carmen López Silva	\N	\N	actress	tt0040140,tt0036157
nm0529951	Concha López Silva	1886	1962	actress	tt0036158,tt0042717,tt0052073,tt0043858
nm0529952	Francisco López Silva	\N	\N	actor	tt0137437,tt0186380,tt0037629,tt0178749
nm0529953	José López Silva	1861	1925	writer,soundtrack	tt0041803,tt0003764,tt0014768,tt0015273
nm0529954	Luis López Somoza	1929	1975	actor,archive_footage	tt0043018,tt0031632,tt0041141,tt0181043
nm0529955	Rafael López Somoza	1900	1977	actor	tt0059511,tt0029258,tt0065075,tt0037126
nm0529956	Jorge F. López Sáez	\N	\N	miscellaneous	tt0155008
nm0529957	José Miguel López Sáez	\N	\N	cinematographer,camera_department,special_effects	tt0088461,tt0060573,tt0084490,tt0059288
nm0529959	Antonio López Sánchez	\N	\N	director,writer	tt0244163,tt0376045,tt0371130,tt0375646
nm0529960	Eva López Sánchez	1954	\N	director,writer,editor	tt0151790,tt0314085,tt0015724,tt1139666
