tconst	directors	writers
tt0774762	nm0244306	\N
tt0774763	nm1285531	nm0750549
tt0774764	nm1223664	nm1223664
tt0774765	nm2094259	nm2094259
tt0774766	nm2193968,nm2187355	nm0606787,nm1041140
tt0774767	nm0019721,nm0004509,nm2175786	\N
tt0774768	\N	nm5365615
tt0774769	\N	\N
tt0774770	nm0287695	nm0918165,nm0255162
tt0774771	\N	nm0213973
tt0774772	nm1470984	nm1470984
tt0774773	nm0004873	nm0004873,nm0236325,nm0338009,nm1114194,nm0559733,nm1131503,nm0588362,nm0866875,nm0899567
tt0774775	\N	\N
tt0774776	nm0391828	nm0819221,nm0391828,nm0188349,nm0494866,nm1430641,nm0221188
tt0774777	nm0746812	nm0507355,nm0188349,nm0494866,nm1430641,nm0221188
tt0774778	\N	nm0742756
tt0774779	\N	nm0742756
tt0774780	\N	nm0742756
tt0774781	\N	nm0742756
tt0774782	\N	nm0742756
tt0774783	\N	nm0742756
tt0774784	\N	nm0742756
tt0774785	nm0257093	nm0257093,nm0742756
tt0774786	\N	nm4137044
tt0774787	\N	\N
tt0774788	nm0446334	nm0068074,nm0591517,nm0007947,nm1019641,nm1010102,nm0068347,nm0068589
tt0774790	nm0691540	nm0068074,nm0591517,nm1011786,nm1019641,nm1010102,nm0068347,nm0068589
tt0774791	nm0691540	nm0068074,nm0591517,nm1038953,nm1019641,nm1010102,nm0068347,nm0068589
tt0774792	nm0691540	nm0068074,nm0591517,nm1038953,nm1019641,nm1010102,nm0068347,nm0068589
tt0774793	nm0829985	nm0068074,nm0591517,nm1038953,nm1019641,nm1010102,nm0068347,nm0068589
tt0774794	nm0829985	nm0068074,nm0591517,nm1011786,nm1019641,nm1010102,nm0068347,nm0068589
tt0774795	nm0446334	nm0068074,nm0591517,nm1038953,nm1019641,nm1010102,nm0068347,nm0068589
tt0774796	nm0825731	nm0014953,nm0625238,nm1116986
tt0774797	\N	\N
tt0774798	nm2187852	nm0242063
tt0774799	nm1621715	\N
tt0774800	nm1951120	\N
tt0774801	\N	\N
tt0774802	nm0441940	nm0414372,nm0441940
tt0774803	nm0832309,nm0953649	nm0397916
tt0774805	nm1637484	nm1462111
tt0774806	nm0664515	nm0010915,nm0005484
tt0774807	nm0002704	nm0005082,nm0004766,nm0362379
tt0774808	nm1512410	nm0480782,nm0949752
tt0774809	nm1239959,nm1993986,nm1494696,nm1099133,nm1059637,nm2773703,nm3576244,nm3421291,nm2544586	nm2438224,nm2195555,nm2584046,nm0715532,nm0766272,nm1160330
tt0774810	\N	\N
tt0774811	nm0287695	nm0291449,nm0918829
tt0774812	\N	nm0403568,nm0403569
tt0774813	\N	\N
tt0774814	nm0007071	nm0886898,nm3017465
tt0774815	\N	nm0102122,nm0119997,nm0589429,nm3187030,nm0728125,nm0862067
tt0774816	\N	nm4972117,nm2419908
tt0774817	nm0581589	\N
tt0774818	nm0265954	nm0112270,nm0458292
tt0774819	\N	nm4024028,nm4380835
tt0774820	\N	nm4024028,nm4380835
tt0774821	nm1267565,nm2365586,nm2392475,nm1093478	nm0068856,nm9358263
tt0774822	nm0366703	nm0769988
tt0774823	\N	\N
tt0774824	nm0802501	\N
tt0774825	nm0233565	\N
tt0774826	\N	\N
tt0774827	nm0178079	nm0569423
tt0774828	\N	\N
tt0774829	\N	\N
tt0774830	\N	\N
tt0774831	\N	\N
tt0774832	\N	\N
tt0774833	\N	\N
tt0774834	\N	\N
tt0774835	\N	\N
tt0774836	\N	nm0843385,nm2195244
tt0774837	nm1519358	\N
tt0774838	\N	\N
tt0774839	nm1546942	\N
tt0774840	nm1546942	\N
tt0774841	\N	nm1008341,nm2189153
tt0774842	\N	nm1008341,nm2189153
tt0774843	\N	nm1008341,nm2189153
tt0774844	\N	nm1008341,nm2189153
tt0774845	\N	nm1008341,nm2189153
tt0774846	nm0843385	nm0699594
tt0774847	nm1546942	\N
tt0774848	\N	nm2209786
tt0774849	nm0697130	nm0871308
tt0774850	nm0697130	nm0871308
tt0774851	nm0697130	nm0871308
tt0774852	nm0697130	nm0871308
tt0774853	nm0697130	nm0871308
tt0774854	\N	\N
tt0774855	nm0843385	nm0699594
tt0774856	nm0843385	nm0699594
tt0774857	nm0697130	\N
tt0774858	nm1546942	\N
tt0774859	\N	\N
