nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm11007951	Luca Gargione	\N	\N	camera_department,director,cinematographer	tt13358616,tt10450852,tt18291000,tt10891586
nm11007959	Adonna Greaves	\N	\N	actress,writer	tt11004896
nm11007973	Olya	\N	\N	writer	tt11418006
nm11008007	Tj Holland	\N	\N	director	tt11004922
nm11008008	Colton Suggs	\N	\N	director,actor,editor	tt15226574,tt15225352,tt11004922
nm11008009	Lane Holland	\N	\N	producer,writer	tt27199722,tt36109951,tt1707809
nm11008065	Dorottya Czakó	\N	\N	art_department,director,writer	tt8772262,tt14449470,tt30268643,tt2934286
nm11008084	Rafal Lobodzinski	\N	\N	director,cinematographer,animation_department	tt11005078,tt3202056
nm11008086	Richard Taschner	\N	\N	director,writer	tt11005082
nm11008088	Imani Rothwell	\N	\N	producer,actress,writer	tt32793430,tt15040334,tt16913256,tt11005084
nm1100809	Carlo Van de Roer	\N	\N	cinematographer,visual_effects,director	tt10648342,tt12768050,tt13354972,tt1564623
nm11008092	Courtney Lyneé	\N	\N	actress,casting_director,director	tt32359903,tt21391512,tt27542378,tt19245276
nm11008099	Kyle Prout	\N	\N	cinematographer,director,writer	tt13735526,tt11005084,tt15437656
nm1100811	Jeroen Van den Broeck	\N	\N	producer,director,writer	tt0459442,tt0163185,tt0296645
nm11008140	Hanna Margolis	\N	\N	director,writer	tt11005124
nm1100815	Rink van der Velde	1932	2001	writer,archive_footage	tt0263366
nm11008158	Richard Rogers	\N	\N	actor,writer	tt11005138
nm11008176	Ina Klempnow	\N	\N	writer,producer,editorial_department	tt0804196,tt1000025,tt5454748,tt1037643
nm11008183	Dyg Midnight	\N	\N	miscellaneous,director	tt8267282
nm1100819	Tony Van	\N	\N	producer,writer,miscellaneous	tt0951347,tt0926221,tt0330930,tt0152696
nm11008190	Susane Worcman	\N	\N	director,writer	tt11005192
nm11008213	Cláudia Lorca	\N	\N	writer	tt11005286
nm11008287	Giulia Levy	\N	\N	assistant_director,director,producer	tt32267844,tt8267282
nm1100829	Gabriel Varalla	1968	\N	editor,camera_department,director	tt0296499,tt2275577,tt3688738,tt0414857
nm11008290	Pedro Henrique França	\N	\N	writer,director,producer	tt21287226,tt8267282
nm1100830	Julia Vargas	\N	\N	director	tt0303817
nm11008325	Rhi Collins	\N	\N	assistant_director,miscellaneous,director	tt5788496,tt7491982,tt2741602,tt1595859
nm1100833	René Vase	\N	\N	writer,composer,music_department	tt0224489
nm11008357	Monet Hurst-Mendoza	\N	\N	writer,producer	tt0203259
nm11008365	Edu Reis	\N	\N	director,actor	tt8267282
nm11008374	Logyna Habeeb	\N	\N	actress,writer,producer	tt11010384
nm1100838	Bernard Vasseur	\N	\N	director,camera_department	tt26930018,tt0164951
nm11008392	Connor Whitlock	\N	\N	director,actor,writer	tt12279800,tt10980326
nm11008424	Emily Arber	\N	\N	writer	tt1631912
nm11008426	Sophy Henn	\N	\N	writer	tt1631912
nm11008443	Emilia Dziubak	\N	\N	writer	tt19896206,tt1631912
nm11008453	Tony Ross	\N	\N	writer	tt1631912
nm11008457	Richard Smythe	\N	\N	writer	tt1631912
nm1100846	Ané Vecchione	\N	\N	cinematographer,camera_department,art_director	tt0303409,tt2249213,tt1967689,tt0383274
nm11008460	Jason Merriwether	\N	\N	director	tt11005744
nm11008465	Kenneth Tobias	\N	\N	writer	tt11005744
nm1100847	Gina Vecchione	\N	\N	editor,director,editorial_department	tt0303409,tt2249213,tt0760137,tt2845090
nm11008478	Johnny Styles	\N	\N	director,actor	tt11005748
nm11008482	Delphine Mach	\N	\N	writer	tt1631912
nm11008515	Jacob Hutton	\N	\N	director	tt11005780
nm11008518	Enrique Manzo Escamilla	\N	\N	director,writer,producer	tt11005784,tt11069174,tt15483728
nm11008522	Liana Shan	\N	\N	director	tt11005798
nm11008532	Blanca A. Mató	\N	\N	director,writer,editor	tt11005820
nm11008533	Mar Cianuro	\N	\N	director,writer,editor	tt11005820
nm11008534	Liam Marcus	\N	\N	actor,producer,director	tt28703142,tt29940865,tt28702353,tt27428186
nm11008541	Paula Colonelli	\N	\N	writer	tt11013130
nm11008547	Stephen Portman	\N	\N	director,editor	tt11005854,tt11005932
nm11008578	Nadim Mehanna	\N	\N	producer,director,cinematographer	tt11905908,tt30888228,tt30888108,tt14362740
nm11008579	Martin Lambert	\N	\N	writer,director,cinematographer	tt11005890
nm11008580	Cécile Génin	\N	\N	director	tt10999502
nm11008581	Sarah Sbeih	\N	\N	production_manager,writer,editor	tt11032810,tt10999502,tt10366254,tt16024584
nm11008583	Angelina Trevisan	\N	\N	actress,producer,writer	tt20870816,tt34063483,tt11040530,tt35875949
nm11008605	Graziella Schwaiger	\N	\N	producer,actress,writer	tt11673914,tt12780078,tt11057262,tt11079516
nm11008614	Liam Carey	\N	\N	actor,writer	tt15514100,tt11005930,tt11518202
nm11008630	Colebut Joey	\N	\N	writer	tt11005946
nm11008639	Ron E. Miles	\N	\N	writer,producer	tt11014308
nm11008659	Débora McDowell	\N	\N	director,producer,writer	tt11005974,tt13516128
nm1100866	Dylan Verrechia	1976	\N	director,writer,producer	tt15042664,tt5124794,tt3297522,tt1519431
nm11008660	Auritha Tabajara	\N	\N	director,writer	tt11005974
nm11008726	Thomas Kano	\N	\N	writer,editor,producer	tt11006076
nm11008729	Shinji Hamasaki	\N	\N	director	tt34754710,tt10993580,tt21364526
nm11008758	Leanne Nicole	\N	\N	editor,producer,writer	tt10003808,tt12687572,tt12683204,tt22302644
nm11008760	Tramaine Williams	\N	\N	sound_department,actor,producer	tt13834642,tt13834688,tt9452824,tt13260780
nm11008779	Rudra Patla Venugopal	\N	\N	director	tt11006136
nm1100884	Rafael Villaseñor Kuri	1948	\N	director,writer,assistant_director	tt8826052,tt0071615,tt0067866,tt0283565
nm11008848	Andy Kirkman	\N	\N	director,camera_department	tt11006194,tt21336428
nm11008851	Emma Becker	1988	\N	writer	tt17505492,tt31186767,tt35669599,tt0872041
nm11008905	Aleksey Vereshchak	\N	\N	director	tt11006274
nm11008907	Mariya Vdovenko	\N	\N	writer	tt11006274
nm1100891	Jeroen Visser	\N	\N	producer,director	tt7545460,tt0119359,tt0304783,tt1830918
nm1100893	Marc Vives	\N	\N	editor,editorial_department,actor	tt32308418,tt28692332,tt8299768,tt6952960
nm1100897	Karel Vladyka	\N	\N	writer	tt0257046
nm11008974	Rafa Rivas	\N	\N	director,actor,writer	tt11023868,tt20835676,tt14624566
nm11008991	Helen RY Sun	\N	\N	producer,writer,assistant_director	tt29304894,tt22175162,tt11006328,tt22700604
nm11008998	Milos Dolezal	1970	\N	writer	tt11000726,tt21152302
nm1100902	Paromita Vohra	\N	\N	producer,director,writer	tt10376266,tt29546423,tt29633175,tt0109732
nm1100903	Michal Vojkuvka	1972	\N	cinematographer,camera_department,writer	tt0403795,tt0425624,tt0473551,tt0303946
nm1100904	Petko Vojnic-Purcar	\N	2017	director,writer	tt0266592,tt2381277,tt2380067,tt2381227
nm11009077	Wesley Trisnadi	2001	\N	producer,director,writer	tt30402377,tt30261184,tt33766904,tt33512932
nm11009116	Dave Smith	\N	\N	writer,miscellaneous	tt11006448,tt11027946
nm1100912	Rich Vos	1957	\N	actor,writer,producer	tt9686708,tt0331619,tt0353049,tt0319930
nm1100913	Jakub Voves	1971	\N	editor,director,writer	tt0923825,tt13106902,tt0128292,tt3195140
nm11009136	Marko Plantan	\N	\N	actor,writer	tt32160317,tt11006500
nm11009161	Boxun Li	\N	\N	director,writer	tt15670842,tt11006530,tt16210912,tt15170394
nm11009198	Colm Larkin	\N	\N	director	tt11006592
nm11009203	Adrian B. Martinez	\N	\N	director,writer,producer	tt28468940,tt11006594
nm1100921	Djordje Vucinic	\N	1996	director,assistant_director,writer	tt0180000,tt0267043,tt0316770,tt0486080
nm11009217	Rodolphe Bouquet	\N	\N	director,producer	tt27727995,tt11006630
nm1100922	Branislav Vuckovic	\N	\N	writer	tt0265598
nm11009287	Camille Martin Donati	\N	\N	assistant_director,director,writer	tt11006800,tt32354343
nm11009296	Rebecca Gray	\N	\N	director,writer	tt3775780
nm11009308	Yash Eshawari	\N	\N	music_department,writer,soundtrack	tt9851854,tt8537578,tt30413898,tt6078194
nm11009390	Manjul Thakur	\N	\N	director,writer	tt28552555,tt11238044,tt32513921,tt15327432
nm11009392	Ananjay Raghuraj	\N	\N	director,producer	tt27907151,tt15816870,tt15528330,tt11006968
nm11009415	Ratan Raha	\N	\N	director	tt11006976
nm1100942	Joe Wakefield	\N	\N	writer,producer,director	tt3083016,tt14483892,tt3652616
nm11009420	Sophie Jay	\N	\N	sound_department,assistant_director,producer	tt14104376,tt36042783,tt10863072,tt35889476
nm11009426	Micha Schulze	\N	\N	director,editor	tt11006998
nm11009431	Chandan Upadhyay	\N	\N	production_manager,director	tt11007004,tt11148648,tt15428190,tt15752618
nm11009454	W. Laudan	\N	\N	writer	tt1277946
nm1100946	Joseph T. Walker	\N	\N	director,writer,miscellaneous	tt0303376,tt0103874,tt18546840,tt0102943
nm11009460	Steve Bogira	\N	\N	writer,miscellaneous	tt10329042
nm11009491	Norbert Polster	\N	\N	writer	tt0787994,tt0486535,tt0498891
nm11009522	Raluca Bunescu	\N	\N	director,cinematographer	tt11007082
nm1100955	Mark Aerial Waller	\N	\N	director,editor,writer	tt3276936,tt0304401
nm11009575	Iva Fezuashvili	\N	\N	writer	tt11007086,tt28227827
nm11009588	Jennifer O'Leary	\N	\N	writer	tt1173418,tt10934254
nm11009593	Pierre-Laurent Ledoux	\N	\N	director,writer	tt11007100
nm11009597	Jean-Baptiste Vandroy	\N	\N	writer	tt7920500,tt18549982,tt14023000
nm11009630	L.S. Zeickner	\N	\N	writer,composer	tt12881248
nm11009634	Inken Pallas	\N	\N	writer	tt0193684,tt0862592
nm11009665	Damien Beckel	\N	\N	director,writer,editor	tt11007174
nm1100969	Guangli Wang	\N	\N	director,producer,writer	tt0304092,tt0821473,tt1560136,tt3341088
nm1100970	Nye Warburton	\N	\N	visual_effects,director,producer	tt0831387,tt1440129,tt1877832,tt1631867
nm11009708	Francisco Monteiro Lopes	\N	\N	actor,writer,producer	tt15005558,tt15618722,tt14552190,tt23725142
nm11009709	Aidan McGrath	\N	\N	director,actor,writer	tt28520404,tt11022184
nm11009716	PurpGames	\N	\N	writer,director,actor	tt4067420,tt12063086
nm11009724	Isaac Landfert	\N	\N	producer,manager,actor	tt11007718,tt11008216,tt31530358,tt34352179
nm11009734	Nathan Philip Anderson	\N	\N	writer,producer	tt9685714,tt8111704
nm11009740	Emyr Owen	\N	\N	director,writer,producer	tt11007276
nm11009754	Liam Chapple	\N	\N	director	tt11000430
nm1100976	Melissa Warrenburg	\N	\N	producer,production_manager,miscellaneous	tt0294097,tt0457146,tt0465774,tt0465849
nm11009766	Wendy Prin-Conti	\N	\N	director,writer	tt11007370
nm11009776	Salman Alam Khan	\N	\N	cinematographer,director,writer	tt13852534,tt13859550,tt28454727,tt34475366
nm11009786	Toni Vesdream	1995	\N	producer,director,writer	tt14239588,tt24178364,tt14552092,tt11012272
nm11009802	Marcelo Álvarez	\N	\N	director,editor	tt11007614,tt10079178
nm11009805	Tian Yi You Feng	\N	\N	writer	tt11413548,tt8268134
nm11009826	Marvelous Prime	\N	\N	actor,director,writer	tt15881422,tt11007862
nm1100983	Koji Watanabe	\N	\N	writer	tt0303658,tt0208592
nm1100985	James Waters II	\N	\N	producer,director,animation_department	tt3513718,tt2937524,tt18263320,tt18263042
nm11009878	Elisabeth Enders	\N	\N	writer,director	tt10079264,tt5435734
nm11009891	Red Dragon	\N	\N	writer	tt10514686
nm11009894	Siddesh Mohite	\N	\N	writer	tt11008188
nm1100992	Watt	\N	\N	director	tt0304149
nm11009926	Joel Acosta	\N	\N	director,actor,writer	tt11008444
nm11009972	Xinxia Wu	\N	\N	director,writer,producer	tt11008672,tt8747304
nm1100999	Sally Webb	\N	\N	writer	tt0219457,tt0094481,tt0118406,tt0292414
nm1101003	Graciela Wegbrait	\N	\N	writer	tt0304532
nm11010034	Ryan Dickerson	\N	\N	actor,writer,script_department	tt14095774,tt14075814,tt32809263
nm11010047	Adriana Sá Moreira	\N	\N	miscellaneous,writer,assistant_director	tt10886718,tt6305540
nm11010054	Rodrigo Giannetto	\N	\N	director	tt10886718,tt1435139,tt11307520,tt14363974
nm11010060	William Cuccinello	\N	\N	director	tt11008990
nm11010068	Zi You Xing Zou	\N	\N	writer	tt5057982
nm11010073	Camille Nguyen	\N	\N	director	tt11009032
nm11010100	HazeBanga	\N	\N	director,actor,composer	tt3850214,tt8743064,tt12311962,tt5024912
nm11010103	Zarna Garg	\N	\N	writer,actress,producer	tt22051744,tt11009432
nm11010109	Louise Brophy	\N	\N	writer	tt11009214
nm1101014	Luis Weintraub	\N	\N	director,producer,assistant_director	tt0303446,tt5217984,tt0300714,tt0456227
nm1101015	Alberto Weisbach	\N	\N	writer	tt0200005
nm1101016	Ella Weisbrod	1944	\N	script_department,producer,assistant_director	tt0805371,tt0409336,tt15155800,tt0372086
nm11010178	Lori Raudnask	\N	\N	actor,writer	tt11009540
nm1101018	Margaret Weisman	\N	\N	writer	tt0072554,tt0088470,tt0085108
nm11010182	Sromona Ghose	\N	\N	producer,writer	tt17719396,tt26908910,tt10162658,tt20867578
nm11010213	Francesco Zanatta	\N	\N	director,editor,actor	tt11009580,tt34571308,tt32843472,tt32352282
nm1101024	Hermann Wenniger	\N	\N	director,writer	tt0047695,tt13269584,tt3649420,tt1753700
nm11010245	Roman Zurek	\N	\N	writer,soundtrack	tt32204859,tt32252096,tt29726696,tt29690244
nm11010274	Grit Tind Mikkelsen	\N	\N	director,writer,cinematographer	tt11009656,tt12106064,tt12111614
nm11010310	Kennedy Gondwe	\N	\N	director,producer	tt11009694
nm11010320	Paola Chimenes	\N	\N	director	tt11009700
nm1101036	Kit Weyman	\N	\N	actor,cinematographer,director	tt8375660,tt0288937,tt0438719,tt5831818
nm11010378	Victor Gomez	\N	\N	miscellaneous,writer,assistant_director	tt11294790,tt11304438,tt11315756,tt11003880
nm1101039	Paul Wheelahan	\N	\N	writer	tt0195488,tt1773031
nm11010396	Bruno Costa	\N	\N	director,producer,writer	tt14215872,tt21711408,tt27535062,tt11009770
nm1101047	Rock Whitney	\N	\N	camera_department,director,actor	tt13576268,tt0099753,tt0098169,tt0103244
nm11010496	Wojciech Ganczarek	\N	\N	director,writer,editor	tt11009952
nm1101050	Terry R. Wickham	\N	\N	director,producer,writer	tt4682970,tt4381658,tt5494544,tt8381678
nm1101051	Ann Widdecombe	1947	\N	actress,writer,archive_footage	tt0436992,tt2418530,tt1589886,tt0098820
nm11010531	Jolly Tyson	\N	\N	director	tt11009968
nm11010537	Rodney Kelson	\N	\N	writer	tt11009968
nm11010581	Andrew Lauzon	\N	\N	actor,producer,writer	tt11096802,tt10098248
nm11010604	Aiskhylos	\N	\N	writer	tt13818858,tt11010026
nm11010605	Aysun Sisik	\N	\N	writer	tt11010026
nm11010656	Ernst Daniel Nijboer	\N	\N	producer,director,writer	tt11032522
nm11010674	Cathleen Chandra	\N	\N	production_designer,director,writer	tt11464440,tt11310448,tt15179970,tt12867264
nm1101070	Marina Willer	\N	\N	director,writer,art_director	tt0296550,tt7211972
nm11010737	Madison Sykes	\N	\N	actor,writer,producer	tt11010104
nm11010738	Douglas Grant	\N	\N	writer	tt11010104
nm11010739	Jerome Capri	\N	\N	director	tt11010106
nm11010744	Timothy Wilkes	\N	\N	writer	tt11010106
nm11010760	Sarah Hawbaker	\N	\N	director,actor,writer	tt12752606,tt11010110,tt26964849,tt11803366
nm11010769	Manuel Larios	\N	\N	director,writer,animation_department	tt11010138
nm1101077	Stephen Clarke-Willson	\N	\N	producer,miscellaneous,director	tt1461676,tt0268516,tt6532904,tt0353346
nm11010784	Stephanie Lemesianou	\N	\N	cinematographer,director,miscellaneous	tt15744812,tt10886364,tt28520448,tt12720172
nm11010806	Emie Gallot	\N	\N	director,editor,production_manager	tt10407272,tt11460048,tt12826924
nm1101083	Sean Wing	1982	\N	actor,composer,writer	tt8308676,tt1414382,tt0829297,tt1147684
nm11010879	Stephen Quinn	\N	\N	producer,director	tt11010252,tt11307546,tt11690158,tt11690134
nm11010880	Phil Swift	\N	\N	writer,archive_footage	tt11010252,tt11690134,tt11307546,tt12684024
nm11010916	Thiago Kulik	\N	\N	writer,art_director,producer	tt11010302
nm11010929	Arthur S. Maxwell	\N	\N	writer	tt0871016
nm1101094	Eric Wirix	\N	\N	producer,script_department,writer	tt0379609,tt1442563,tt0426037,tt2569488
nm11010955	Dieter Möller	1942	\N	writer	tt3674368,tt0862592
nm1101099	Jerzy Wolen	1926	2015	writer,director,actor	tt13994240,tt0085449,tt0070217
nm11011000	André Siqueira	\N	\N	music_department,writer	tt10886766,tt2162116,tt13702292
nm1101101	Thomas H. Wolf	\N	\N	producer,writer,miscellaneous	tt2349140,tt13381602,tt0210040,tt6736110
nm11011047	Solange Serafim	\N	\N	writer	tt10886766
nm11011048	Renato Nego Lima	\N	\N	writer,director	tt34609805,tt14581852,tt10886766
nm11011058	Sarah Rowe	\N	\N	miscellaneous,director	tt11859462,tt1170858,tt10917112
nm11011060	Karlo Gagulic	\N	\N	producer,editor,director	tt19892008,tt14117372,tt12140718,tt12167322
nm11011069	Melita Mukavec	\N	\N	director,actress,writer	tt12167126,tt11004358,tt12167322
nm1101107	Rang-woon Won	\N	\N	writer	tt0304687
nm11011110	J.H. Moncrieff	\N	\N	actress,writer	tt27075385,tt30796806,tt10119542,tt18924782
nm11011114	Josh Benoit	\N	\N	art_department,writer,producer	tt8633478,tt17079684,tt10831486,tt6678124
nm1101112	Virgil Wong	\N	\N	director,miscellaneous	tt0303368,tt26862147
nm11011122	Jeremy Norrie	\N	\N	producer,director,writer	tt11990802,tt14638844,tt14203930,tt12025884
nm11011150	Alfonso Damalerio II	\N	\N	writer	tt11006990
nm1101116	Shane Woodson	1972	\N	actor,producer,director	tt0468459,tt1563772,tt8005256,tt7033820
nm11011162	Sarah Flanagan	\N	\N	producer,director,writer	tt11010544,tt11879838
nm11011173	Dafne De Vinatea	\N	\N	animation_department,producer,director	tt12844628,tt12349104,tt32267022,tt19869172
nm11011175	Yumi Villanueva	\N	\N	animation_department,writer,art_department	tt12844628,tt11010138
nm11011181	Viviana Rodriguez	\N	\N	animation_department,art_department,writer	tt12844628,tt11010138
nm11011219	Dan Molson	\N	\N	actor,director,writer	tt12565794,tt24131222,tt22500788,tt32631883
nm1101124	Liesbeth Worm	\N	\N	animation_department,director,writer	tt0391486,tt0304644,tt0379579,tt0112773
nm11011246	Tsu-Chiu Chen	\N	\N	writer	tt1567324
nm11011253	Aram Ramirez	\N	\N	cinematographer,producer,writer	tt29781265,tt29769302,tt21214708,tt28356610
nm1101127	Calum Worthy	\N	\N	actor,producer,writer	tt8682948,tt6877772,tt5883570,tt15180134
nm11011273	Neil Ferron	\N	\N	director,writer	tt29137528,tt14952956,tt12551770
nm11011281	Joshua van der Velden	\N	\N	writer,visual_effects,editor	tt11010720,tt16427946
nm11011282	Stephen Rheeder	\N	\N	director,writer,cinematographer	tt35275753,tt29719552,tt11010720
nm11011293	Jay David	\N	\N	producer,writer,director	tt11690438,tt11554116,tt34261984,tt10833096
nm11011303	Robby Peterson	\N	\N	producer,writer	tt32141038,tt10990022
nm11011336	Jayson Eilerman	\N	\N	actor,writer	tt11011124,tt11010262
nm11011357	Maxfield Cooper Smith	\N	\N	miscellaneous,director,writer	tt27604905,tt11299744,tt11315808,tt14998742
nm1101136	Yunchu Wu	\N	\N	director	tt0303911
nm11011372	Marcos Carrasco	\N	\N	director,actor,writer	tt13046964,tt10214316
nm11011387	Asya Voloshina	\N	\N	writer,actress	tt24712842,tt11010968
nm11011391	Reinaldo Lima	\N	\N	director,actor,writer	tt11010974
nm11011392	Eliz Brito	\N	\N	director,actress,writer	tt11010974
nm1101141	Xavière	1941	\N	writer	tt0069135,tt3652750
nm1101143	Ehud Ye'ari	1945	\N	director	tt0303494,tt0318214
nm11011431	Justin Lee	\N	\N	actor,writer,assistant_director	tt15404618,tt11010742,tt12820920
nm11011474	Luke Iandoli	\N	\N	writer	tt11010566
nm11011476	Raleigh Jones	\N	\N	actor,writer,director	tt11011124,tt11020558,tt13072902,tt11106306
nm11011479	Nathan McKay	\N	\N	writer,assistant_director,camera_department	tt11011124,tt11020558
nm11011483	Jessica Wu	\N	\N	producer,director,writer	tt11011128,tt11853496
nm1101150	Takeshi Yamada	\N	\N	director,actor,assistant_director	tt7167986,tt0203235,tt0168284
nm11011536	Hugo Bioud	\N	\N	casting_department,director,writer	tt11011252,tt13363022,tt25752340,tt29288566
nm11011558	Zoe Hana Mikuta	\N	\N	writer	tt11011282
nm11011561	Christopher Vanbrussel	\N	\N	writer,assistant_director,casting_department	tt10901412
nm1101157	Yasuo Yamayoshi	\N	2006	director,animation_department,art_department	tt4926606,tt0185070,tt0421381,tt0169473
nm11011574	Taylor Wong	\N	\N	writer,script_department,producer	tt7235466,tt10323338
nm11011594	Hubie Karp	\N	\N	writer	tt0279588
nm11011603	Venessa Brown	\N	\N	director,actress,producer	tt3529522,tt8084498,tt11011356,tt33365871
nm1101163	Will Yapp	\N	\N	producer,director,writer	tt0304938,tt8641686,tt0304940,tt2314698
nm11011640	Edward Armstrong	\N	\N	writer	tt11911720,tt11011374
nm11011648	Joe Gabaeff	\N	\N	writer,producer	tt11011398
nm11011650	Elisabeth Husmark	\N	\N	producer,director,writer	tt11011400,tt24218420,tt24218066,tt11329000
nm11011658	Emily Pulcastro	\N	\N	writer,camera_department,director	tt14947382,tt11910848,tt11899680,tt29545353
nm1101167	Mitsuhiko Yazaki	\N	\N	director,writer	tt0303339
nm11011684	Samuel Utomo	\N	\N	director,editor,producer	tt12610870,tt11016936,tt11011580,tt11452510
nm11011685	Filippa Forsman	\N	\N	director,writer,miscellaneous	tt11011482,tt11333420
nm11011698	Laura Scruggs	\N	\N	director,writer,cinematographer	tt11051996
nm1101170	Shen Yeh	\N	\N	assistant_director,costume_department,director	tt2613950,tt1819497,tt1820426,tt0070274
nm11011705	Umid Khamdamov	\N	\N	director,writer,actor	tt11011540,tt31100736,tt30989654,tt13452734
nm1101175	Ragip Sevki Yesim	1910	1971	writer	tt0304282,tt0306890,tt0305921
nm11011756	Tyler Hoover	\N	\N	writer	tt13116834,tt16382820,tt4944090,tt12669996
nm1101176	Nikolai Yesynenku	\N	\N	writer	tt0334643,tt0304860
nm1101178	Yoshi Yokota	\N	\N	writer,script_department	tt0304285,tt8361436,tt6515450,tt1329525
nm11011795	Geethika Sudip	\N	\N	director,writer	tt9808564
nm11011800	Annapurna Basu	\N	\N	director,miscellaneous	tt11011622,tt4378690
nm11011808	Marc Morris	\N	\N	director,actor,cinematographer	tt11011632
nm11011811	Kelly McDowell	\N	\N	actor,writer	tt11011632
nm1101184	J.R. Young	\N	\N	producer,miscellaneous,writer	tt4160708,tt0431021,tt1029360,tt0425430
nm11011841	Luca Kemper	\N	\N	actor,camera_department,sound_department	tt32244028,tt33030099,tt32310627,tt29546497
nm1101185	Il-su Yu	\N	\N	writer,actor	tt0304697,tt0354906,tt0403840,tt0402027
nm1101186	Yeol Yu	\N	\N	writer	tt0371419,tt0338345,tt0341486,tt0340261
nm1101187	Zhong Yu	\N	\N	director,writer,actor	tt8849174,tt0304641,tt0453313,tt6477516
nm11011885	Luke Keys	\N	\N	director	tt11000430
nm11011889	Jeff Mclean	\N	\N	actor,writer	tt11011658,tt3491398
