nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm11007178	Diego Barnes	\N	\N	actor,writer,art_department	tt26043818,tt11717950,tt10999304
nm11007192	Sathya Miele	\N	\N	director,cinematographer,writer	tt34698449,tt35836043,tt35869229,tt35525579
nm11007194	Luis Navarro	\N	\N	director	tt11001994
nm11007201	Juan Antonio Sánchez	\N	\N	writer	tt11001994
nm11007205	Daniel Anderson	\N	\N	writer,actor	tt11005762,tt11002010,tt11004534
nm11007208	Antonin Pevny	\N	\N	director,editor,writer	tt11002058,tt14791472,tt14529398
nm1100722	Dionissia Tsitiridou	\N	\N	actress,writer	tt1566550,tt0819900,tt0216545,tt5619552
nm11007233	Pierre Levasseur	\N	\N	producer,director,writer	tt31110238,tt11792848,tt24215940,tt27741904
nm11007251	Abinash Padhan	\N	\N	director,writer,cinematographer	tt11003752,tt11002458
nm11007290	Beth Ritto	\N	\N	writer,director	tt11002702,tt15709088
nm11007306	Lacie Doll	\N	\N	actress,director,writer	tt13653722,tt12413212,tt14128586,tt16405092
nm11007307	P. Neeravi Pandian	\N	\N	director	tt12587328,tt10128152
nm1100736	Lewis M. Turner	\N	\N	writer	tt0281217
nm1100738	Tanju Turunç	\N	\N	producer,director,writer	tt0967479,tt24578352,tt35515301,tt34767966
nm11007414	Benjamin Gesing	\N	\N	writer,producer	tt11003370
nm11007433	Alexandra Vass	\N	\N	writer,actress	tt0446224,tt10103960
nm11007437	Attila Komán	\N	\N	actor,writer	tt21392540,tt10103960
nm1100744	Kim-Chi Tyler	\N	\N	director,producer	tt0295897
nm1100746	István Tímár	\N	\N	director,writer,art_department	tt0464196,tt0066619,tt5987050,tt7778594
nm11007471	Marco Ballarin	\N	\N	writer	tt11006644
nm11007511	Morné Strydom	\N	\N	writer,director,executive	tt19383096,tt35671400,tt11004282,tt11003804
nm1100755	Elfe Uluc	\N	\N	director,actress,writer	tt2577936,tt0410369,tt0266917
nm1100756	Douglas Underdahl	\N	\N	cinematographer,editor,director	tt0304008,tt3570572,tt6365098,tt7627604
nm1100757	Heinz Rudolf Unger	1938	2018	writer,soundtrack	tt0304976,tt1639381,tt3369264,tt2036386
nm11007582	Mike Heff	\N	\N	editor,director,writer	tt11003878,tt32482512,tt34722627
nm11007583	Tom Allen	\N	\N	director	tt0270804
nm11007597	Kevin Lee	\N	\N	writer,production_designer	tt11001120
nm11007608	Sok Chanrado	\N	\N	cinematographer,director,writer	tt14962202,tt11939416,tt26659663,tt11003894
nm1100761	Carl Upchurch	1950	2003	writer	tt0285485
nm11007615	Elfriede Djiki	\N	\N	actress,director,writer	tt24144796,tt13314762,tt27487494,tt9213092
nm11007644	Alexis Cofield	\N	\N	actress,writer,casting_director	tt11280740,tt23039638,tt13859144
nm1100765	Ksenija Urlicic	1939	\N	actress,writer,editor	tt0182479,tt13769752,tt4062834,tt3202350
nm11007680	C Cannon Rosenau	\N	\N	writer	tt12312688,tt29377588,tt15172128,tt11051216
nm11007684	James Conners	\N	\N	actor,director	tt28348119,tt18363726,tt32043715
nm1100770	Mehmet Uyar	1960	\N	script_department,writer	tt9915022,tt1783298,tt0304777,tt6022134
nm1100772	Vala Nurettin	1901	1967	writer	tt0304963,tt0391568
nm1100773	Anikó Vajda	\N	\N	writer	tt0108767,tt0298671,tt0149531,tt19811574
nm1100775	Katalin Vajda	\N	\N	writer	tt0298671,tt0108767,tt0149531
nm11007753	Michael Hindal	\N	\N	actor,sound_department,writer	tt11020558,tt13071958,tt13053142,tt11011124
nm1100779	Edmund Valdez	\N	\N	writer	tt0304679
nm1100780	Leo Valdez	\N	\N	assistant_director,director,production_manager	tt2227148,tt2195410,tt0401498,tt0360455
nm11007800	José Luis Telecher	1959	2023	actor,writer	tt6398630,tt35309318,tt0213346,tt11004540
nm1100791	Joseph Van Blunk	\N	\N	director	tt0303949
nm11007912	K. Garrett MacLean	\N	\N	writer	tt12461500,tt11004806,tt11252120
nm11007913	Kimberly G. Maclean	\N	\N	producer,director	tt11252120,tt11004806,tt12715512
nm11007917	Santiago Guzman	\N	\N	casting_department,actor,producer	tt21108848,tt11952974,tt11004814,tt18289580
nm11007950	Lorenzo Di Lello	\N	\N	sound_department,writer,camera_department	tt13095876,tt10891586,tt6052708,tt10927066
