tconst	directors	writers
tt0520627	nm0009953	nm0352396,nm1980806,nm1180074
tt0520628	nm0926526	nm0352396,nm0690068,nm1180074
tt0520629	nm0009953	nm0352396,nm0941041,nm2194760
tt0520630	nm0009953	nm0352396,nm0616797,nm1980806,nm0096938
tt0520631	nm0009953	nm0352396,nm0169362,nm2194760
tt0520632	nm0009953	nm0352396,nm0348795,nm2194760
tt0520633	nm0009953	nm0352396,nm0410539,nm0380677,nm0616797,nm0002864
tt0520634	nm0009953	nm0352396,nm0505867,nm0410539
tt0520635	nm0060892	nm0352396,nm0002864
tt0520636	nm0060892	nm0352396,nm0321255,nm0310929
tt0520637	nm0009953	nm0352396,nm0096938
tt0520638	nm0009953	nm0352396,nm1180074
tt0520639	nm0009953	nm0352396,nm1180074
tt0520640	nm0505867	nm0352396,nm0676295,nm0233108
tt0520641	nm0009953	nm0352396,nm1980806
tt0520642	nm0348795	nm0352396,nm0233108,nm0676295,nm0310929
tt0520643	nm0009953	nm0352396,nm0616797
tt0520644	nm0505867	nm0352396,nm0096938
tt0520645	nm0009953	nm0352396,nm0616797,nm0002864
tt0520646	nm1154413	nm0352396,nm0941041,nm1180074
tt0520647	nm0009953	nm0352396,nm0941041,nm0616797,nm0002864
tt0520648	nm0881461	nm0352396,nm0040139,nm1180074
tt0520649	nm0505867	nm0352396,nm0505867,nm0410539,nm1180074
tt0520650	nm0009953	nm0352396,nm0616797
tt0520651	nm0381353	nm0352396,nm0348795,nm1180074
tt0520652	nm0795407	nm0352396,nm1180074
tt0520653	nm0009953	nm0352396,nm0348795
tt0520654	nm0505867	nm0352396,nm1980806,nm1180074
tt0520655	nm0541562	nm0352396,nm0746573,nm1180074
tt0520656	nm0009953	nm0352396,nm0348795
tt0520657	nm0060892	nm0352396,nm1931762,nm1180074
tt0520658	nm0009953	nm0352396,nm0410539
tt0520659	nm0141879	nm0352396,nm0717885,nm0566998,nm1180074
tt0520660	nm0505867	nm0352396,nm0002864
tt0520661	nm0009953	nm0352396,nm0096938
tt0520662	nm0009953	nm0352396,nm0690068
tt0520663	nm0009953	nm0352396,nm1180074
tt0520664	nm0795407	nm0352396,nm0282165,nm0709398
tt0520665	nm0009953	nm0352396,nm1980806
tt0520666	nm0505867	nm0352396,nm0505867
tt0520667	nm0009953	nm0352396,nm1980806
tt0520668	nm0307680	nm0352396,nm1980806,nm1180074
tt0520669	nm0009953	nm0352396,nm0941041
tt0520670	nm0307680	nm0352396,nm0616797
tt0520671	nm0881461	nm0352396,nm0016539
tt0520672	nm0009953	nm0352396,nm1180074
tt0520673	nm0060892	nm0352396,nm0002864
tt0520674	nm1154413	nm0352396,nm0348795
tt0520675	nm0060892	nm0352396,nm0676295,nm0233108
tt0520676	\N	\N
tt0520677	\N	\N
tt0520678	\N	\N
