tconst	directors	writers
tt10042622	nm0750527	nm0750527
tt10042788	nm1923551	nm1923551
tt10042868	nm6816931	nm4676368,nm5376482,nm6816931
tt10043458	nm0703544	nm0703544
tt10043660	nm3815061	nm3815061
tt10043770	nm8820234	\N
tt10044040	nm0791140	nm7117287,nm0484262
tt10044182	nm3184434	nm7478640,nm3184434
tt10044632	nm3925765	nm10557601
tt10044946	nm4341096	nm7250425
tt10045002	nm10531566	\N
tt10047464	nm3185193	nm3185193
tt10047904	nm1195601	nm1195601
tt10047958	nm2203853	nm5954779,nm2203853
tt10048100	nm1238790	nm3035891,nm1238790
tt10049262	nm1431194	nm6581410,nm11304356
tt10049720	nm1049174	nm3348181
tt10051000	nm3742110	nm3742110,nm6525814
tt10051088	nm1112548	nm0445006,nm1112548
tt10053958	nm3354669	\N
tt10054316	nm1098377	nm1098377,nm0084190,nm0240627
tt10054536	nm10561671	nm13325691,nm10561671
tt10054604	nm6425087	nm9344915,nm6425087
tt10054778	nm2641508	nm2641508
tt10054876	nm10561853	nm10561867
tt10054946	nm3468427,nm2436790	nm3468427
tt10055058	nm8971951	nm1700613,nm8971951
tt10055284	nm8211328	nm8211328
tt10055546	nm1730629	nm2233827,nm1292556,nm2808395,nm2830323
tt10055892	nm1822659	nm1822659
tt10056224	nm0001953	nm0001953
tt10056488	nm2278676	nm10563063,nm10563064,nm3134495,nm12194221
tt10058864	nm8392831	nm8392831
tt10058890	nm0096539	nm0096539
tt10059182	nm4597102	nm10563713,nm4597102
tt10059252	nm4597102	\N
tt10059254	nm3885159,nm0754653	\N
tt10059438	nm11151746	nm8510495,nm11151746
tt10059508	nm3051578	nm3051578
tt10059518	nm0097517	nm0255296
tt10060772	nm0701269	nm0365293
tt10061452	nm0951991	\N
tt10061464	nm10562627	nm10562627
tt10062338	nm0352968	nm0352968,nm3563262,nm1651729,nm1419321
tt10062556	nm10564978	nm10564978,nm0474861,nm1937760,nm12851058,nm4191232
tt10062612	nm3192216	nm3192216
tt10062614	nm1398739	nm5961159,nm2837117,nm1398739
tt10062628	nm4462060	nm4462060
tt10062634	nm9776172	nm6818191
tt10063548	nm9033305	nm9033305
tt10063580	nm3705090	nm3705090,nm3609912
tt10063934	nm2212798	nm2212798
tt10064134	nm1065111	nm0742197
tt10064284	nm6680605	nm10222102
tt10065694	nm4680113,nm7896794	nm4680113,nm7896794
tt10065936	nm2538949	nm2538949
tt10066262	nm1811978	nm7262487
tt10066432	nm5262488	nm6734319
tt10066750	nm3709548,nm7473882	nm7473882
tt10066808	nm3438179	nm3438179
tt10068716	nm9744450	nm9744450
tt10068758	nm0001298	nm9754774
tt10068916	nm0463628	nm2417655,nm0475594
tt10069166	nm10274640	nm10274640
tt10071550	nm5731750	\N
tt10071594	nm10568981	\N
tt10071606	nm10568992	nm13533405
tt10072662	nm0144812	nm0778633,nm0769249,nm0778639,nm0232746,nm0144812,nm11908884
tt10073452	nm3813028,nm3788723	nm3813028,nm3788723
tt10073640	nm10569971,nm10569972	nm10569971,nm10569972
tt10073734	nm6382332	nm0263727
tt10073888	nm6382332	nm2655355
tt10073902	nm2655355	nm2655355
tt10075242	nm10571078,nm5920123	nm8425470,nm10571078,nm7412371,nm5920123
tt10075380	nm5694753,nm5694564	nm5694915,nm0382655,nm0382614,nm5694887,nm0221133
tt10075442	nm7398558	nm1473499,nm1347493
tt10075650	nm9816747	nm9816747
tt10077034	nm1966532	nm1332311,nm6647040,nm1213712,nm2811337,nm2450692,nm3042546,nm3223617,nm0528371,nm3223205,nm0002042
tt10077090	nm10560071	nm10560071
tt10077458	nm6067506,nm4162336	\N
tt10077544	nm0093081	nm0093081,nm0526000,nm3972535
tt10078206	nm4341114,nm8099914,nm3153264,nm6935209,nm8442307	nm4341114
tt10078772	nm0000154	nm5558051
tt10078886	nm4269006	nm1276394,nm4626406,nm4269006,nm4156265
tt10078904	nm4341114	nm4341114
tt10079028	nm4341114	nm4341114
tt10079448	nm5323837	nm2279608,nm5323837,nm6756963
tt10079652	nm0335835	nm0343379,nm7148363,nm0818563
tt10079796	nm4620941	nm4620941
tt10080086	nm0508441	nm0508441
tt10080092	nm9619798	nm9619798
tt10080110	nm1615332	nm3490150,nm1615332,nm0343379
tt10080130	nm7148363	nm0343379,nm4190170,nm1009681,nm7148363
tt10080198	nm7383367	nm7383367,nm4485694
tt10080926	nm10568164	nm10568169,nm10568172,nm10568170,nm10568164
tt10081762	nm1893652	nm1893652
tt10081788	nm3803118	nm1449733,nm3803118
tt10083174	nm2134362	nm2366998,nm2134362
tt10083340	nm0080220	nm0080220,nm7580249,nm9936180,nm1165501,nm3128535,nm6741315,nm3680093
tt10083640	nm4415009	nm4415009,nm1381758,nm4856427,nm1474596,nm1941973
tt10084408	nm4036049	nm4036049
tt10085194	nm8265190	nm8265190
tt10086754	nm8657251	nm2721961
tt10087728	nm4015380,nm13017169	nm4015380
tt10088984	nm0141127	nm2081787,nm0141127,nm1379753
tt10090058	nm2538739,nm14051140	nm6370784,nm2538739,nm2540226
tt10090114	nm10577256	nm8422396,nm9108187
tt10091272	nm3225840,nm13252949	nm0295032,nm3225840
tt10091630	nm3932134	nm3737785,nm3932134
tt10092170	nm3019034	nm3019034,nm13843034,nm3235461
tt10092362	nm7500996	nm8994719
tt10092464	nm5638638	nm5638638
tt10092698	nm2202596,nm2753152	nm7990258,nm2202596,nm2753152
tt10092752	nm2182866	nm2182866,nm5747900,nm1896882
tt10093594	nm0349484	\N
tt10094374	nm2137041	\N
tt10094388	nm0868650	nm2303036
tt10095262	nm8900560	nm8900560,nm8900565
tt10095308	nm4822033	nm4822033
tt10095328	nm0201504	nm0201504
tt10095582	nm0001054	nm0001054,nm0000636
tt10096114	nm8976437	nm8976437
tt10096232	nm3222976,nm10579998	nm3222976,nm10579998
tt10096236	nm1906390	\N
tt10096842	nm0497563	nm0497563,nm9531463,nm4477261
tt10097312	nm3641208	nm3641208,nm10566852
tt10097346	nm7972509	nm11970536,nm7972509
tt10097362	nm1109126	nm3867239
tt10097384	nm1970591	nm10580392,nm13249624
tt10097386	nm2760074	\N
tt10097442	nm0796102	nm9512980
tt10097470	nm0576606	nm0576606
tt10097484	nm2744255	nm8767367,nm3733544,nm11877165,nm2744255,nm11877166,nm6844499
tt10097958	nm1664102	nm0278862,nm1664102,nm4885128
tt10098042	nm8289467	nm8289467
tt10098044	nm0168237	nm0168237
tt10098048	nm0834088,nm13780924	nm0834088
tt10098288	nm3155648,nm14255092	nm1805326,nm4387169
tt10098340	nm9706670	nm9706670
tt10098442	nm10073192	nm10073192
tt10098448	nm2296528,nm3634546	nm3310472,nm1960111,nm0348197,nm2296528
tt10098452	nm1616394	nm1616394,nm4562078
tt10099160	\N	nm5022138
tt10100128	nm3364349	\N
tt10100196	nm1658166	nm1658166
tt10100678	nm1778801,nm5282122	nm1778801
tt10101246	nm5642554	nm9724582
tt10101702	nm2366527,nm2440538,nm1072856	nm0003201,nm3186756,nm2366527,nm2440538,nm9261564
tt10101806	nm1413776	nm0267066,nm1413776
tt10102080	nm1783656	nm1783656
tt10102402	nm10700391	nm3746903,nm10700391
tt10102746	nm6334891	nm6334891
tt10103028	nm6412518	nm6412518
tt10104502	nm9129354	nm9234220,nm9129354,nm2429007
tt10106082	nm5654268	nm1627156,nm5374444,nm8792050,nm8567059,nm1585992,nm5654268,nm5430347
tt10106118	nm10450117	nm0072154,nm10450117
tt10106394	nm0500596	nm15313579,nm13445134
tt10106564	nm10584784	nm10584784
tt10107092	nm6168786	nm6168786
tt10107222	nm5111029	nm5111029
tt10108062	nm8742444	nm8742444
tt10108708	nm7641690	\N
tt10110022	nm0873608	nm1639986,nm0873608
tt10110572	nm10586261	nm10586262,nm10586261
tt10110614	nm3649532	nm3649532,nm3242193
tt10110648	nm8538604	\N
tt10110912	nm1672174	nm1672174
tt10111116	nm15010565	\N
tt10111180	nm3235413	nm3235413
tt10111198	nm7135571	nm7135571
tt10111440	nm5928226	nm5928226
tt10111924	nm9868558,nm3335318	nm9868558,nm3335318
tt10112032	nm6697009	nm6697009
tt10112034	nm5636563	nm10134818,nm5636563
tt10115874	nm8377866	nm8377866
tt10115998	nm0002436	nm6131035
tt10116022	nm2347853	nm2347853
tt10116556	nm2008110	nm2008110,nm3204017
tt10117768	nm1268012,nm1425885	nm1268012,nm1425885
tt10118112	nm1579213	nm1579213
tt10121028	nm7070171	\N
tt10121110	nm0023481	nm0023481,nm1329744
tt10121222	nm2463104	nm2463104
tt10121392	nm1229520	nm1229520
tt10121702	nm4626339	nm4626339
tt10121904	nm10592213	nm10592213
tt10122486	nm9259804	nm9259804
tt10122618	nm7867836	nm7867836,nm10878814
tt10123698	nm0023517	nm2446739,nm0023517,nm0745510
tt10123970	nm7263882	nm1887791,nm9868437
tt10125260	nm7889668	\N
tt10125752	nm0649629	nm0649629
tt10126040	nm0563243	nm0519209
tt10126136	nm1137907	nm1157788
tt10126368	nm2407490	nm2407490
tt10126434	nm2063694	nm2063694
tt10126780	nm4238738	nm1114034
tt10127410	nm0620378	nm0645256,nm10255350
tt10127464	nm4368774	nm6919283,nm4368774
tt10127518	nm3166085	\N
tt10127684	nm0545356	nm0545356
tt10127708	nm1438231,nm1027519	nm0549954,nm3590688,nm10522422
tt10127760	nm2025683	nm10958322,nm2025683
tt10127774	nm2866915,nm10592867	nm6029859
